case_id,pair,method,initial_x_m,initial_y_m,initial_z_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,burn_time_s,propellant_kg,final_x_m,final_y_m,final_z_m,final_vx_mps,final_vy_mps,final_vz_mps,final_speed_mps,position_error_m,max_thrust_N,runtime_s,success
1,T,ESPDI-T,90.35568581925823,40.7438106071569,792.4887646520115,-10.968460188236342,-4.94597390866565,-94.0806699427699,16.2564081087833,932.4519138733158,-3.279070408485161e-12,-1.4675695724040028e-12,-8.000690558738859e-11,-2.394282688777949e-13,-1.0619283230539622e-13,-5.719459628128476e-12,5.725453803093898e-12,8.008752090596237e-11,180000.0,0.5733761000446975,True
1,T,Optimizer-T,90.35568581925823,40.7438106071569,792.4887646520115,-10.968460188236342,-4.94597390866565,-94.0806699427699,16.2564081087833,932.4519138738033,2.7554403203566835e-11,1.2417400441222526e-11,6.366747129504802e-10,-1.630917623174355e-13,-7.421840919619171e-14,-3.751665644813329e-12,3.755942279331784e-12,6.373916590921148e-10,180000.0,3.6699960000114515,True
1,A,ESPDI-A,-92.84681487927304,-426.94936098605973,959.6006688425914,14.578269797450858,44.09832863404843,-78.97165130465868,19.229491753483796,998.1301103202659,-9.037215420448774e-14,2.2737367544323206e-13,-2.5579538487363607e-13,-1.970645868709653e-14,5.684341886080802e-14,-3.552713678800501e-14,6.986913646328488e-14,3.5397343609764777e-13,179999.99999998786,5.2136154000181705,True
1,A,Optimizer-A,-92.84681487927304,-426.94936098605973,959.6006688425914,14.578269797450858,44.09832863404843,-78.97165130465868,18.435517607384707,970.3609259127115,-3.1927688272042034e-08,-4.0002191346156466e-08,1.53347285092309e-07,6.992589840493224e-11,1.1144685174713231e-10,-1.3782752716906543e-10,1.9054253928617533e-10,1.6166305216738023e-07,180000.00000488985,14.566588599933311,True
2,T,ESPDI-T,-394.1916261882089,143.61338932592045,1138.3016468730216,39.936365919638504,-14.549768402084396,-112.27853466888354,19.425532539888305,1114.2298393112324,1.1187834215779646e-11,-4.402753955269723e-12,-8.573832947447599e-11,7.906524827211436e-13,-3.0756408704590843e-13,-6.132357642518738e-12,6.190762252891922e-12,8.657720842060114e-11,180000.0,0.7345200999407098,True
2,T,Optimizer-T,-394.1916261882089,143.61338932592045,1138.3016468730216,39.936365919638504,-14.549768402084396,-112.27853466888354,19.425532539888305,1114.2298393118108,2.2797763676862814e-11,-8.279599228444567e-12,-1.716635722459614e-10,-3.197442310920451e-13,1.212363542890671e-13,2.5153212845907547e-12,2.538459334248479e-12,1.7336860104498206e-10,180000.0,1.5984651000471786,True
2,A,ESPDI-A,-230.93338581161947,13.455599809492242,1390.0609918164319,-8.375310018368658,-4.6340574032864055,-89.32593574636638,23.198395482984044,1177.2586841202974,-2.2737367544323206e-13,7.105427357601002e-14,-7.958078640513122e-13,-5.684341886080802e-14,1.7763568394002505e-15,-7.815970093361102e-14,9.666058432183029e-14,8.306970895361862e-13,180000.0145645565,3.819417899940163,True
2,A,Optimizer-A,-230.93338581161947,13.455599809492242,1390.0609918164319,-8.375310018368658,-4.6340574032864055,-89.32593574636638,21.978747046130735,1138.4376154083402,1.2748047968447048e-08,1.7354249833722065e-09,-1.2901758950079056e-07,-2.291145051458443e-11,5.138167669116456e-12,1.291716955620359e-09,1.2919303498133351e-09,1.2965748272843045e-07,180000.00002270684,17.407919300021604,True
3,T,ESPDI-T,-77.2156466883653,237.33724087601595,633.6970737410556,10.296744692687056,-31.649038506794415,-82.74601344462522,14.816691085134574,849.8711318731457,4.372477559059021e-12,-1.3369103946721944e-11,-9.657690532710594e-11,1.995990178693674e-13,-6.125377982613145e-13,-4.499609018715489e-12,4.545494873337666e-12,9.759585105373852e-11,180000.0,0.5119440999114886,True
3,T,Optimizer-T,-77.2156466883653,237.33724087601595,633.6970737410556,10.296744692687056,-31.649038506794415,-82.74601344462522,14.816691085134574,849.8711318735877,-2.536382215367894e-11,7.811817859249004e-11,5.621831888902307e-10,1.5265566588595902e-13,-4.716227408607665e-13,-3.3804070653786766e-12,3.416560213092429e-12,5.681511340934209e-10,180000.0,2.1902481000870466,True
3,A,ESPDI-A,-424.91062651478876,495.31442220813324,1605.4697870410027,13.437613312031388,-14.336077038524433,-63.95277894739985,26.898187322531136,1225.840055962086,-1.1368683772161603e-13,4.547473508864641e-13,-1.1368683772161603e-13,-2.842170943040401e-14,2.842170943040401e-14,2.842170943040401e-14,4.9227844771419234e-14,4.823324033076557e-13,180000.0144469279,3.8586595999076962,True
3,A,Optimizer-A,-424.91062651478876,495.31442220813324,1605.4697870410027,13.437613312031388,-14.336077038524433,-63.95277894739985,25.14814234913353,1166.9187706189823,7.698689099528122e-08,-8.70467421954816e-08,1.2141782690378022e-08,-1.673399196988612e-10,2.0958168533979915e-10,6.117630846347311e-10,6.679679657562127e-10,1.1683980314458902e-07,180000.0000050518,28.29503380006645,True
4,T,ESPDI-T,-283.4722079144944,63.588778014308915,929.4059052350922,31.690917467600457,-7.108939288062004,-101.40250811412979,17.631134594432748,1011.3049012010433,5.024924696987992e-12,-1.1138787188756183e-12,-4.092370610138743e-11,7.73759528671647e-13,-1.706529882683494e-13,-6.407978314637575e-12,6.456780337868131e-12,4.124609454340494e-11,180000.0,0.6083496001083404,True
4,T,Optimizer-T,-283.4722079144944,63.588778014308915,929.4059052350922,31.690917467600457,-7.108939288062004,-101.40250811412979,17.631134594432748,1011.3049012015763,4.632561001471913e-11,-1.0399070493605223e-11,-4.0093972586419113e-10,-2.7400304247748863e-13,5.96189764223709e-14,2.334132886971929e-12,2.3509165071691686e-12,4.037410885535674e-10,179999.99999999997,7.531669800053351,True
4,A,ESPDI-A,355.9070420091165,167.58470483801398,1283.5720284408164,11.024784558838185,-35.05747800431771,-64.27737956958387,23.672146246809092,1159.212961132882,6.821210263296962e-13,1.2505552149377763e-12,3.979039320256561e-13,5.684341886080802e-14,1.5631940186722204e-13,8.526512829121202e-14,1.8691461090676719e-13,1.4790216290814087e-12,180000.00121657984,4.424588899943046,True
4,A,Optimizer-A,355.9070420091165,167.58470483801398,1283.5720284408164,11.024784558838185,-35.05747800431771,-64.27737956958387,22.4985910570406,1123.8696918054557,2.6681495791607937e-08,-1.8604016683096044e-08,-6.413858244513904e-08,1.2283507544452732e-11,2.383160335739376e-11,4.438831524566922e-10,4.446921214852696e-10,7.19150152088867e-08,180000.00000163267,27.50844360003248,True
5,T,ESPDI-T,168.661014625122,294.3694378790395,361.7954553677778,-27.90960304933342,-48.71151865960419,-58.72745557628447,11.968726662385015,686.5146352309912,-5.831623703898836e-12,-1.0424080869320118e-11,-3.66940035214508e-11,-4.4816234057165616e-13,-8.183315136633951e-13,-2.9222180231158745e-12,3.067551812828031e-12,3.858910716026278e-11,180000.0,0.3807158999843523,True
5,T,Optimizer-T,168.661014625122,294.3694378790395,361.7954553677778,-27.90960304933342,-48.71151865960419,-58.72745557628447,11.968726662385015,686.5146352313604,-2.3802737558753506e-11,-4.1390446625655386e-11,-1.4979661955294432e-10,8.126832540256146e-14,1.509903313490213e-13,5.435651928564766e-13,5.699699463653522e-13,1.5722202967985008e-10,180000.0,22.265859900042415,True
5,A,ESPDI-A,-468.39227305332855,-34.949841276523784,1496.246182587821,-9.074139902808973,-34.20554713428612,-61.56038496928757,25.88651304133757,1258.028523557714,-4.547473508864641e-13,-4.547473508864641e-13,-1.1368683772161603e-12,5.684341886080802e-14,2.842170943040401e-14,-1.5631940186722204e-13,1.6874455023750438e-13,1.306162322757252e-12,180000.00163968647,3.8368711000075564,True
5,A,Optimizer-A,-468.39227305332855,-34.949841276523784,1496.246182587821,-9.074139902808973,-34.20554713428612,-61.56038496928757,24.702730710967067,1221.9730608592836,-3.830872595502688e-08,-3.7192443181076386e-08,-1.3831083833792945e-08,2.3220536604640074e-11,1.637534552401121e-11,-9.407230550095846e-11,9.826975080615522e-11,5.5155554517132306e-08,180000.00000178136,40.16718580003362,True
6,T,ESPDI-T,-26.54927135013871,-268.5871378098159,513.9337197637559,3.8737989213382633,39.18949605099277,-73.51972596653198,13.555759595406778,777.5453159246299,-2.0934916245620187e-13,-2.590399039205122e-12,1.1322998663904418e-11,7.03976807403528e-14,6.683889552938638e-13,-3.770726786367362e-12,3.830154060405505e-12,1.161741335224486e-11,180000.0,0.4146656000521034,True
6,T,Optimizer-T,-26.54927135013871,-268.5871378098159,513.9337197637559,3.8737989213382633,39.18949605099277,-73.51972596653198,13.555759595406776,777.5453159250319,-1.1485423723200938e-11,-1.1620060469397231e-10,6.122817808318359e-10,5.939693181744587e-14,5.933031843596837e-13,-3.154809746774845e-12,3.210663670088511e-12,6.233165123979556e-10,180000.0,15.718532499973662,True
6,A,ESPDI-A,37.90617703788803,277.73483451148854,1682.7525624809114,13.026648796287851,-16.909403705673512,-82.65642260107066,26.376215222592936,1248.4362587224477,-5.115907697472721e-13,-3.410605131648481e-13,-9.094947017729282e-13,-8.526512829121202e-14,-2.842170943040401e-14,-9.947598300641403e-14,1.3406493525361332e-13,1.097828767105282e-12,180000.06633657456,4.935916599933989,True
6,A,Optimizer-A,37.90617703788803,277.73483451148854,1682.7525624809114,13.026648796287851,-16.909403705673512,-82.65642260107066,24.371484993745646,1182.3972055206614,-6.844788204300856e-09,-2.209179741844301e-09,1.4991439201139656e-08,-2.984279490192421e-13,-2.3714363805993344e-13,-3.4638958368304884e-12,3.484805692465467e-12,1.6627532890208885e-08,180000.0000000002,30.76359740004409,True
7,T,ESPDI-T,-445.7324266438614,-94.70839381909832,779.4153805765554,53.08264658214706,11.278901639074263,-90.61732070928194,16.566155853397017,950.2187462110815,8.662143376712839e-12,1.7876876872270978e-12,-4.150068082155872e-11,-4.969986228120504e-11,-1.0561362548400233e-11,2.368846369060762e-10,2.4227247035470836e-10,4.243271218999188e-11,180000.0,0.8009754000231624,True
